x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
14.6129	20.5142	-4.46734	1.9524	2.72957	0.478197	14.666490	20.608810	1477010450300000	14.616070	20.506300	-4.504432	1.742721	2.772439	0.529115
14.1274	20.6773	-4.62866	1.66502	2.79629	0.506	14.052090	20.592369	1477010450400000	14.161100	20.668631	-4.595370	1.504208	2.825254	0.525176
13.6115	20.8156	-4.80585	1.36687	2.86449	0.530608	13.468650	20.725330	1477010450500000	13.697690	20.806971	-4.673567	1.262937	2.877667	0.520904
13.1179	20.8875	-4.9067	0.959043	2.94857	0.579476	13.107230	20.829399	1477010450600000	13.227110	20.921080	-4.739038	1.019748	2.929644	0.516304
12.6951	20.9846	-4.83465	0.71621	2.99452	0.568278	12.872910	21.059170	1477010450700000	12.750630	21.010820	-4.791865	0.775469	2.981153	0.511377
12.1934	21.0636	-4.90976	0.465799	3.047	0.565721	12.206200	21.110001	1477010450800000	12.269490	21.076120	-4.832191	0.530912	3.032162	0.506127
11.7161	21.0523	-4.89304	0.0963145	3.12191	0.589705	11.681430	20.865110	1477010450900000	11.784960	21.117001	-4.860224	0.286869	3.082637	0.500558
11.259	21.0298	-4.82685	-0.221737	3.1875	0.59849	11.362990	21.068850	1477010451000000	11.298230	21.133530	-4.876229	0.044106	3.132548	0.494673
10.7994	20.9515	-4.74551	-0.582672	3.26376	0.617244	10.890270	20.926950	1477010451100000	10.810490	21.125891	-4.880526	-0.196643	3.181862	0.488475
10.2648	20.9788	-4.81599	-0.643752	3.27447	0.545957	10.188970	21.208960	1477010451200000	10.322910	21.094320	-4.873488	-0.434674	3.230549	0.481969
9.84225	20.9177	-4.67359	-0.868626	3.32535	0.542756	9.996342	20.979670	1477010451300000	9.836580	21.039129	-4.855539	-0.669327	3.278577	0.475158
9.42805	20.8525	-4.50186	-0.996225	3.35937	0.508024	9.539206	20.876200	1477010451400000	9.352578	20.960670	-4.827144	-0.899977	3.325917	0.468047
8.90524	20.7818	-4.60595	-1.15992	3.38829	0.483883	8.703310	20.822081	1477010451500000	8.871920	20.859381	-4.788810	-1.126048	3.372539	0.460640
8.40858	20.6205	-4.61014	-1.44851	3.44603	0.493349	8.222766	20.483879	1477010451600000	8.395572	20.735750	-4.741079	-1.347006	3.418412	0.452943
7.93416	20.4613	-4.5695	-1.68997	3.49583	0.495255	7.885988	20.449989	1477010451700000	7.924445	20.590309	-4.684526	-1.562369	3.463509	0.444959
7.39507	20.3194	-4.68222	-1.88093	3.52358	0.477385	7.180292	20.391979	1477010451800000	7.459388	20.423651	-4.619752	-1.771702	3.507800	0.436695
6.89284	20.1409	-4.66468	-2.04776	3.55525	0.456451	6.815424	20.185909	1477010451900000	7.001193	20.236380	-4.547379	-1.974620	3.551257	0.428154
6.4194	19.9578	-4.597	-2.18179	3.58472	0.435701	6.389140	20.013651	1477010452000000	6.550586	20.029160	-4.468049	-2.170789	3.593854	0.419343
5.93808	19.7705	-4.56857	-2.30757	3.60931	0.415512	5.861189	19.830601	1477010452100000	6.108230	19.802691	-4.382413	-2.359926	3.635563	0.410268
5.53691	19.5017	-4.37074	-2.59515	3.67741	0.453428	5.690891	19.575510	1477010452200000	5.674721	19.557671	-4.291136	-2.541796	3.676358	0.400933
5.12593	19.2507	-4.22303	-2.77023	3.72216	0.454987	5.170214	19.439680	1477010452300000	5.250589	19.294849	-4.194883	-2.716216	3.716213	0.391345
4.78603	18.9878	-3.94224	-2.87793	3.77219	0.454887	4.891493	18.982010	1477010452400000	4.836298	19.014971	-4.094322	-2.883047	3.755103	0.381509
4.40066	18.7064	-3.81826	-3.06256	3.8176	0.460614	4.468500	18.833960	1477010452500000	4.432244	18.718800	-3.990117	-3.042199	3.793004	0.371433
4.10748	18.4103	-3.50874	-3.16217	3.87509	0.469474	4.262690	18.480961	1477010452600000	4.038758	18.407110	-3.882925	-3.193624	3.829891	0.361122
3.64962	18.095	-3.62465	-3.41783	3.89763	0.454759	3.459187	18.166981	1477010452700000	3.656107	18.080669	-3.773392	-3.337317	3.865741	0.350583
3.2605	17.7767	-3.53915	-3.4676	3.91678	0.416909	3.125250	17.749331	1477010452800000	3.284491	17.740250	-3.662152	-3.473310	3.900532	0.339823
2.90041	17.475	-3.45202	-3.58633	3.94607	0.412614	2.944902	17.815371	1477010452900000	2.924051	17.386620	-3.549823	-3.601673	3.934241	0.328848
2.57487	17.072	-3.27759	-3.86605	4.00918	0.445882	2.554070	17.085329	1477010453000000	2.574864	17.020531	-3.437004	-3.722509	3.966847	0.317665
2.25376	16.7347	-3.1118	-3.83182	4.03032	0.410587	2.253706	16.833441	1477010453100000	2.236950	16.642731	-3.324275	-3.835952	3.998331	0.306282
1.92395	16.3082	-2.98199	-3.96262	4.06727	0.398548	1.889717	16.105391	1477010453200000	1.910273	16.253950	-3.212192	-3.942161	4.028670	0.294705
1.56732	15.9632	-2.97314	-3.93637	4.06551	0.346946	1.447453	16.085320	1477010453300000	1.594741	15.854900	-3.101288	-4.041322	4.057848	0.282942
1.25921	15.5125	-2.86649	-4.19278	4.1127	0.367646	1.183950	15.428400	1477010453400000	1.290209	15.446280	-2.992073	-4.133638	4.085845	0.271000
0.88811	15.0986	-2.91237	-4.24933	4.11155	0.32188	0.722706	15.007520	1477010453500000	0.996486	15.028760	-2.885028	-4.219333	4.112643	0.258887
0.650004	14.7071	-2.68069	-4.2215	4.14663	0.318907	0.737301	14.704720	1477010453600000	0.713330	14.602990	-2.780610	-4.298641	4.138226	0.246611
0.356845	14.2416	-2.60942	-4.42506	4.17958	0.324896	0.253435	14.202850	1477010453700000	0.440459	14.169590	-2.679249	-4.371810	4.162577	0.234179
0.21713	13.7421	-2.19154	-4.67385	4.27393	0.40467	0.459172	13.685560	1477010453800000	0.177545	13.729160	-2.581347	-4.439094	4.185681	0.221599
-0.059096	13.2643	-2.15096	-4.82289	4.29288	0.383753	-0.190344	13.285560	1477010453900000	-0.075775	13.282290	-2.487279	-4.500752	4.207524	0.208879
-0.172548	12.8262	-1.77119	-4.75434	4.35578	0.408213	0.046231	12.930110	1477010454000000	-0.319903	12.829520	-2.397395	-4.557043	4.228091	0.196027
